id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info
2452,Marisco,Camarón boreal cocido y pelado Royal Greenland ultracongelado,Paquete 200 g,"4,25 €",,https://prod-mercadona.imgix.net/images/2ac4f940765eb3fb780fb7df6d99d9f3.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/81881f8f908f82b08dd2aa8b81e363c6.jpg?fit=crop&h=600&w=600,"Camarón boreal cocido y pelado Royal Greenland ultracongelado, Paquete, 200 Gramos, 4,25€ por Unidad"
34,Conejo y cordero,Chuletas de cordero palo y riñonada,Bandeja 430 g aprox.,"12,47 €",,https://prod-mercadona.imgix.net/images/a28a01beda3e17fddbbc86218fd613fb.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/0d51ebd92a12b9852bf14ecd4107c984.jpg?fit=crop&h=600&w=600,"Chuletas de cordero palo y riñonada, Bandeja, 430 Gramos aprox., 12,47€ por Unidad"
4501,"Estropajo, bayeta y guantes",Estropajo limpieza delicada Bosque Verde,Paquete 3 ud.,"0,90 €",,https://prod-mercadona.imgix.net/images/052ddcc2917abaf02a2be3fb6820b2ba.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/89ad3ee8b104b365e66ec1dbdb2724be.jpg?fit=crop&h=600&w=600,"Estropajo limpieza delicada Bosque Verde, Paquete, 3 Unidades, 0,90€ por Unidad"
1345,Mermelada y miel,Mermelada de arándanos Hacendado,Tarro 330 g,"1,85 €",,https://prod-mercadona.imgix.net/images/1cb0e04e2c01974816092f738b1e4f00.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/db3edd6e84df0d53babab57dfeb03db7.jpg?fit=crop&h=600&w=600,"Mermelada de arándanos Hacendado, Tarro, 330 Gramos, 1,85€ por Unidad"
3335,Higiene bucal,Recambios cepillo dental eléctrico Oral-B Pro Precision Clean,Paquete 4 ud.,"14,50 €",,https://prod-mercadona.imgix.net/images/494912ed89970f25d183a96cd44b18a3.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/131a02fc0b0e2f48b88a7847792d0d27.jpg?fit=crop&h=600&w=600,"Recambios cepillo dental eléctrico Oral-B Pro Precision Clean, Paquete, 4 Unidades, 14,50€ por Unidad"
2579,Verdura,Espinaca picada en porciones Hacendado ultracongelada,Paquete 500 g,"1,30 €",,https://prod-mercadona.imgix.net/images/b738648efadba41e6fcf45597269f920.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/063b9e48eab7ba7aacb6051b5d35cb01.jpg?fit=crop&h=600&w=600,"Espinaca picada en porciones Hacendado ultracongelada, Paquete, 500 Gramos, 1,30€ por Unidad"
806,"Queso curado, semicurado y tierno",Queso curado cheddar Hacendado,Pieza 300 g,"3,30 €",,https://prod-mercadona.imgix.net/images/c536cb9dab18824330d0a9958c08dd37.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/990cb0eec0a0b9f860edf4fdc97431dc.jpg?fit=crop&h=600&w=600,"Queso curado cheddar Hacendado, Pieza, 300 Gramos, 3,30€ por Unidad"
4093,Perfume y colonia,Lote mujer Soplo Intense,Caja 1 ud.,"10,00 €",,https://prod-mercadona.imgix.net/images/7b395d5e923143134bdaf2f03ff0928a.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/2963bf7a84db63310ad4a856b5c55ac7.jpg?fit=crop&h=600&w=600,"Lote mujer Soplo Intense, Caja, 1 Unidad, 10,00€ por Unidad"
3881,Alimentación infantil,Papilla zanahorias baby con ternera Hero Solo +6 meses,Tarrito 235 g,"1,75 €",,https://prod-mercadona.imgix.net/images/18e45fcbfe8b6177bcfd9e1c09ecc350.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/b21d81bc687db1f6bc5b51c31ba5c921.jpg?fit=crop&h=600&w=600,"Papilla zanahorias baby con ternera Hero Solo +6 meses, Tarrito, 235 Gramos, 1,75€ por Unidad"
292,Aves y pollo,Alas de pollo adobadas,Bandeja 630 g aprox.,"3,53 €",,https://prod-mercadona.imgix.net/images/54963b491f9a471b370e01149b95cb3d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/bc22dea4a64cfe33173a67b6deed3cff.jpg?fit=crop&h=600&w=600,"Alas de pollo adobadas, Bandeja, 630 Gramos aprox., 3,53€ por Unidad"
